vendor,url
zyxel,ftp.zyxel.lv
zyxel,ftp.zyxel.com.tr
zyxel,ftp.zyxel.com
weintek,ftp.weintek.com
tyan,ftp.tyan.com
tiger,tiger.satsale.net
simet,ftp.simet.com.tr
sangoma,ftp.sangoma.com
rinotel,rinotel.com
ral,ftp.ral.ro
proinit,188.138.149.64
pctvsystems,ftp.pctvsystems.com
partner-tech,ftp.partner-tech.eu
netgear,downloads.netgear.com
multitech,ftp.multitech.com
luis,ftp.luis.ru
loks,ftp.loks.lv
infinet,ftp.infinet.ru
geoteam,ftp.geoteam.dk
eutronix,ftp.eutronix.be
epson,download.epson-europe.com
draytek,ftp.draytek.com
dlink,ftp.dlink.ca
dlink,ftp.dlink.by
detewe,aux.detewe.ru
depo-computers,ftp.depo.ru
dd-wrt,ftp.dd-wrt.com
d-link,ftp2.dlink.com
d-link,ftp.d-link.co.za
d-link,ftp.dlink.ru
d-link,ftp.dlink.eu
avm,ftp.avm.de
mamont (FTP search engine),https://www.mmnt.ru/int/get?in=f&st=.bin&qw=firmware,https://www.mmnt.ru/int/get?in=f&st=.bin&qw=firmware